id;image;image_content_type;id_fonc;designation;description;quantite;prix_achat_unit;prix_vente_unit;prix_vente_gros;date;fournisseur_id;type_id
1;../fake-data/blob/hipster.png;image/png;Borders;Kids transmitting SDD;metrics static Card;18318;14702;47376;54887;2022-02-19T07:02:33;1;1
2;../fake-data/blob/hipster.png;image/png;attitude-oriented;Concrete back-end;Pants azure;75963;64867;64785;94279;2022-02-19T11:20:23;2;2
3;../fake-data/blob/hipster.png;image/png;empower heuristic cutting-edge;Awesome SCSI;frictionless Som programming;20632;17621;38525;80536;2022-02-18T20:07:17;3;3
4;../fake-data/blob/hipster.png;image/png;a;radical benchmark Outdoors;navigate cohesive XSS;41777;47976;61144;55658;2022-02-19T11:52:41;4;4
5;../fake-data/blob/hipster.png;image/png;relationships Frozen;quantifying portals;Awesome;70991;42696;5993;7376;2022-02-19T06:16:16;5;5
6;../fake-data/blob/hipster.png;image/png;Tasty;Account Computers 24/7;Small;27060;98682;43095;41345;2022-02-19T12:24:10;6;6
7;../fake-data/blob/hipster.png;image/png;b;port;generate;4380;75548;65581;80547;2022-02-19T07:15:54;7;7
8;../fake-data/blob/hipster.png;image/png;fuchsia Granite red;visionary;high-level Public-key;63534;83904;44536;39799;2022-02-19T04:43:09;8;8
9;../fake-data/blob/hipster.png;image/png;c;Hat SMTP;Shoes Incredible;47418;39296;41964;43449;2022-02-19T04:19:46;9;9
10;../fake-data/blob/hipster.png;image/png;collaborative;matrix generate card;relationships Champagne-Ardenne;54580;81867;1356;6223;2022-02-18T23:11:52;10;10
