id;montant;designation;date;vendeur_id;client_id
1;66699;plug-and-play a;2022-02-19T14:56:27;1;1
2;3003;cross-platform;2022-02-19T07:15:30;2;2
3;26002;invoice;2022-02-19T11:20:58;3;3
4;99921;withdrawal deposit Account;2022-02-18T21:18:00;4;4
5;77852;Superviseur Practical;2022-02-19T03:51:30;5;5
6;47169;lime Bacon;2022-02-19T06:17:16;6;6
7;57651;Steel feed b;2022-02-19T13:24:36;7;7
8;57116;Fish Home Tools;2022-02-19T01:10:51;8;8
9;63143;a;2022-02-19T02:27:31;9;9
10;8287;Norvège deploy Rhône-Alpes;2022-02-18T22:18:57;10;10
