id;photo;photo_content_type;id_fonc;designation;description;montant;date;payee;fournisseur_id
1;../fake-data/blob/hipster.png;image/png;sensor c Avon;Intelligent Shoes;bypassing efficient;5109;2022-02-19T01:27:31;false;1
2;../fake-data/blob/hipster.png;image/png;lavender protocol SCSI;primary Berkshire;Steel online Metal;93775;2022-02-18T22:54:17;true;2
3;../fake-data/blob/hipster.png;image/png;Plastic e-services;teal;holistic Cambridgeshire;17768;2022-02-19T14:46:59;false;3
4;../fake-data/blob/hipster.png;image/png;matrices;SMS client-driven;Libye Account;24198;2022-02-19T04:05:07;false;4
5;../fake-data/blob/hipster.png;image/png;matrix vortals;bypass;transmitting;20982;2022-02-19T04:24:32;true;5
6;../fake-data/blob/hipster.png;image/png;Technicien Enterprise-wide workforce;Loire;bandwidth Wooden;27466;2022-02-19T03:44:00;true;6
7;../fake-data/blob/hipster.png;image/png;b Practical;mint;Soap sensor Unbranded;24637;2022-02-18T23:47:07;false;7
8;../fake-data/blob/hipster.png;image/png;Ball withdrawal white;Handmade Cambridgeshire Montorgueil;EXE;80903;2022-02-19T07:46:42;true;8
9;../fake-data/blob/hipster.png;image/png;client-server lavender Horizontal;enhance;transmitting;26248;2022-02-19T09:51:49;false;9
10;../fake-data/blob/hipster.png;image/png;invoice;Seychelles Plastic;Beauty;81451;2022-02-19T06:21:46;true;10
